DATE,CLOSE
17/08/2010,36.5
18/08/2010,36.1
19/08/2010,36.1
20/08/2010,37.1
23/08/2010,37
24/08/2010,36.5
25/08/2010,36
26/08/2010,36.1
27/08/2010,36.8
30/08/2010,37.8
31/08/2010,38.4
01/09/2010,38.4
06/09/2010,38
07/09/2010,37.4
08/09/2010,38
09/09/2010,37.9
10/09/2010,37
13/09/2010,37.4
14/09/2010,37.3
15/09/2010,37.2
16/09/2010,36.6
17/09/2010,37.6
20/09/2010,36.8
21/09/2010,35.6
22/09/2010,36
23/09/2010,36.9
24/09/2010,36.5
27/09/2010,36
28/09/2010,36.5
29/09/2010,36.4
30/09/2010,36.2
01/10/2010,36
04/10/2010,36
05/10/2010,36.2
06/10/2010,36.8
07/10/2010,36.5
08/10/2010,36.5
11/10/2010,36.5
12/10/2010,36
13/10/2010,36.4
14/10/2010,36.4
15/10/2010,36.4
18/10/2010,35.9
19/10/2010,35.5
20/10/2010,34.9
21/10/2010,35
22/10/2010,34.8
25/10/2010,34.1
26/10/2010,34.4
27/10/2010,34.8
28/10/2010,34.8
29/10/2010,34.8
01/11/2010,35
02/11/2010,34.2
03/11/2010,34.1
04/11/2010,34
05/11/2010,34.4
08/11/2010,33.5
09/11/2010,33
10/11/2010,33
11/11/2010,32
12/11/2010,32.4
15/11/2010,31.6
16/11/2010,31.2
17/11/2010,30.3
18/11/2010,31
19/11/2010,31
22/11/2010,31.8
23/11/2010,33
24/11/2010,33
25/11/2010,33.6
26/11/2010,32.9
29/11/2010,34
30/11/2010,33.8
01/12/2010,33
02/12/2010,32.8
03/12/2010,33.2
06/12/2010,33.4
07/12/2010,32.7
08/12/2010,31.8
09/12/2010,32.1
10/12/2010,32.7
13/12/2010,34.1
14/12/2010,29.5
15/12/2010,30.9
16/12/2010,30.9
17/12/2010,32.4
20/12/2010,32.5
21/12/2010,31.9
22/12/2010,30.5
23/12/2010,30.3
24/12/2010,29.5
27/12/2010,29.8
28/12/2010,29.7
29/12/2010,30.5
30/12/2010,31
31/12/2010,32.5
04/01/2011,31.5
05/01/2011,30.6
06/01/2011,30.8
07/01/2011,30.7
10/01/2011,31
11/01/2011,30.7
12/01/2011,30.5
13/01/2011,31
14/01/2011,31.9
17/01/2011,31.5
18/01/2011,31.5
19/01/2011,31.6
20/01/2011,31.5
21/01/2011,33
24/01/2011,34.6
25/01/2011,34.2
26/01/2011,34.3
27/01/2011,34.6
28/01/2011,36.1
08/02/2011,37.9
09/02/2011,38
10/02/2011,37.7
11/02/2011,37.2
14/02/2011,35.5
15/02/2011,35.9
16/02/2011,35.3
17/02/2011,35.2
18/02/2011,35
21/02/2011,33.3
22/02/2011,31.9
23/02/2011,32.9
24/02/2011,31.7
25/02/2011,32.2
28/02/2011,32.4
01/03/2011,32.7
02/03/2011,31.5
03/03/2011,31
04/03/2011,31.4
07/03/2011,32
08/03/2011,32
09/03/2011,31.5
10/03/2011,32
11/03/2011,31.9
14/03/2011,30.9
15/03/2011,30.1
16/03/2011,30.2
17/03/2011,30
18/03/2011,31.5
21/03/2011,32.9
22/03/2011,31.7
23/03/2011,31.6
24/03/2011,30.9
25/03/2011,31
28/03/2011,31
29/03/2011,31
30/03/2011,30.7
31/03/2011,31.2
01/04/2011,30.7
04/04/2011,30.4
05/04/2011,30.3
06/04/2011,31
07/04/2011,30.6
08/04/2011,30.5
13/04/2011,30
14/04/2011,29.9
15/04/2011,29.4
18/04/2011,28.6
19/04/2011,28.7
20/04/2011,29
21/04/2011,28.6
22/04/2011,28.2
25/04/2011,28.7
26/04/2011,28.1
27/04/2011,28.3
28/04/2011,28
29/04/2011,28.4
04/05/2011,28.4
05/05/2011,28.2
06/05/2011,28.8
09/05/2011,28.6
10/05/2011,28.2
11/05/2011,28.2
12/05/2011,28.1
13/05/2011,28.1
16/05/2011,29.5
17/05/2011,30.9
18/05/2011,31.9
19/05/2011,31.3
20/05/2011,30
23/05/2011,28.6
24/05/2011,27.2
25/05/2011,25.9
26/05/2011,27.1
27/05/2011,28.4
30/05/2011,27
31/05/2011,28
01/06/2011,29.4
02/06/2011,30.5
03/06/2011,29.1
06/06/2011,29.3
07/06/2011,30.6
08/06/2011,29.2
09/06/2011,29.3
10/06/2011,29.4
13/06/2011,29.3
14/06/2011,29.1
15/06/2011,28.3
16/06/2011,28.7
17/06/2011,27.6
20/06/2011,27.8
21/06/2011,28.9
22/06/2011,28.9
23/06/2011,28.1
24/06/2011,27.6
27/06/2011,28.1
28/06/2011,27.9
29/06/2011,28
30/06/2011,27.7
01/07/2011,27.9
04/07/2011,27.8
05/07/2011,28.4
06/07/2011,28.1
07/07/2011,28.1
08/07/2011,27.9
11/07/2011,28.1
12/07/2011,28
13/07/2011,28
14/07/2011,29.4
15/07/2011,28.6
18/07/2011,26.8
19/07/2011,26.8
20/07/2011,27.6
21/07/2011,28.5
22/07/2011,28
25/07/2011,28
26/07/2011,27.4
27/07/2011,28.2
28/07/2011,28.3
29/07/2011,28.1
01/08/2011,27.9
02/08/2011,27.8
03/08/2011,27
04/08/2011,27.4
05/08/2011,27.2
08/08/2011,26.9
09/08/2011,26.2
10/08/2011,26.4
11/08/2011,26.6
12/08/2011,26.9
15/08/2011,26.8
16/08/2011,26.8
17/08/2011,27.5
18/08/2011,27.8
19/08/2011,27.3
22/08/2011,27.3
23/08/2011,27
24/08/2011,26.8
25/08/2011,27
26/08/2011,26.9
29/08/2011,27.1
30/08/2011,27.3
31/08/2011,27.5
01/09/2011,28.8
05/09/2011,28.3
06/09/2011,28.1
07/09/2011,28.3
08/09/2011,28.1
09/09/2011,28
12/09/2011,27.3
13/09/2011,27.6
14/09/2011,27
15/09/2011,27
16/09/2011,26.4
19/09/2011,27.4
20/09/2011,26.7
21/09/2011,26.7
22/09/2011,27.1
23/09/2011,26.5
26/09/2011,26.4
27/09/2011,26.6
28/09/2011,27.9
29/09/2011,27.4
30/09/2011,27.3
03/10/2011,27
04/10/2011,26.7
05/10/2011,26.6
06/10/2011,26.7
07/10/2011,26.5
10/10/2011,26.6
11/10/2011,26.4
12/10/2011,26.2
13/10/2011,26.1
14/10/2011,26.3
17/10/2011,26.2
18/10/2011,25.9
19/10/2011,25.7
